a0a18248-dad0-41e0-ac82-2c4e48022d3f Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Friedmanniella;
205381d6-f891-408d-83b2-c51342da5f45 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
91746666-6178-4f53-b32b-5569015dac53 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
ee7bd633-451b-478e-a113-d6a00568a147 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;
f9ac2614-52e8-4e84-8560-cef345fdfd90 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;
dd8cd8c4-3371-469b-b6d1-828f0100a7db Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;
b6f24b85-e851-48f8-acff-138715cee870 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
f9a7a9f1-93ec-4fc8-ad19-b0353c109437 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
b3c5a617-9e42-48cc-a68e-d12556b6e043 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
c1b5a660-67d1-42ee-8233-0cdb29ee2fd7 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella;
f25e5158-fe6f-4f49-8335-0c87c90031f4 Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium;
bfe2c3a4-465d-4100-8ba9-04f97e7ea04f Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
8fa60be2-95ad-435f-bdb8-31433510a35e Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;
de5f851e-d3ba-4751-a5e7-7d52d578cc07 Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Friedmanniella;
49ba7ef7-9a58-4d76-95f3-d72886f30134 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
9ceb5697-ace8-46a1-95a2-48dc58b81559 Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;
b4af4c80-8c2b-43d5-9917-1ad4f4fc9fa0 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;
217af936-74af-4d9e-903c-2f3adf2b324f Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;
1defbcd7-cf82-4373-b46e-23b2856824e1 Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
b1b22df3-3dce-47d3-b544-a6fbc61eff67 Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
8e9b5bd9-d10e-4f0d-b133-fbdddf83d6fa Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
0301dc74-ded6-4a88-b6db-dfba1df677aa Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
06ce889d-6019-462d-a678-54d2d21c1aee Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;
